Timecode List:,00:00:00.320,00:00:02.360,00:00:04.480,00:00:10.600,00:00:11.440,00:00:14.040,00:00:16.440,00:00:20.400,00:00:21.480,00:00:36.880,00:00:38.240,00:00:51.080,00:00:53.320,00:00:56.880,00:01:12.800,00:01:16.080,00:01:17.280,00:01:18.920,00:01:20.040,00:01:21.880,00:01:22.680,00:01:29.680,00:02:04.760,00:02:11.920,00:02:47.080,00:02:53.600,00:03:02.120,00:03:08.160,00:03:09.120,00:03:13.200,00:03:14.000,00:03:15.840,00:03:17.600,00:03:20.840,00:03:22.160,00:03:23.960,00:03:28.200,00:03:30.200,00:03:31.360,00:03:44.560,00:03:45.520,00:03:51.440,00:03:55.280,00:04:13.600,00:04:14.240,00:04:16.080,00:04:17.120,00:04:18.880,00:04:20.920,00:04:22.840,00:04:24.360,00:04:25.840,00:04:27.400,00:04:44.800,00:04:47.080,00:04:50.240,00:04:55.600,00:05:08.400,00:05:09.840,00:05:12.200,00:05:23.120,00:05:25.440,00:05:29.080,00:05:29.800,00:05:31.360,00:05:33.440,00:05:37.240
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,8,00:00:00.320,0.320,8,00:00:00.320,0.320
2,9,00:00:00.320,0.320,59,00:00:02.360,2.360,51,00:00:02.040,2.040
3,60,00:00:02.360,2.360,112,00:00:04.480,4.480,53,00:00:02.120,2.120
4,113,00:00:04.480,4.480,265,00:00:10.600,10.600,153,00:00:06.120,6.120
5,266,00:00:10.600,10.600,286,00:00:11.440,11.440,21,00:00:00.840,0.840
6,287,00:00:11.440,11.440,351,00:00:14.040,14.040,65,00:00:02.600,2.600
7,352,00:00:14.040,14.040,411,00:00:16.440,16.440,60,00:00:02.400,2.400
8,412,00:00:16.440,16.440,510,00:00:20.400,20.400,99,00:00:03.960,3.960
9,511,00:00:20.400,20.400,537,00:00:21.480,21.480,27,00:00:01.080,1.080
10,538,00:00:21.480,21.480,922,00:00:36.880,36.880,385,00:00:15.400,15.400
11,923,00:00:36.880,36.880,956,00:00:38.240,38.240,34,00:00:01.360,1.360
12,957,00:00:38.240,38.240,1277,00:00:51.080,51.080,321,00:00:12.840,12.840
13,1278,00:00:51.080,51.080,1333,00:00:53.320,53.320,56,00:00:02.240,2.240
14,1334,00:00:53.320,53.320,1422,00:00:56.880,56.880,89,00:00:03.560,3.560
15,1423,00:00:56.880,56.880,1820,00:01:12.800,72.800,398,00:00:15.920,15.920
16,1821,00:01:12.800,72.800,1902,00:01:16.080,76.080,82,00:00:03.280,3.280
17,1903,00:01:16.080,76.080,1932,00:01:17.280,77.280,30,00:00:01.200,1.200
18,1933,00:01:17.280,77.280,1973,00:01:18.920,78.920,41,00:00:01.640,1.640
19,1974,00:01:18.920,78.920,2001,00:01:20.040,80.040,28,00:00:01.120,1.120
20,2002,00:01:20.040,80.040,2047,00:01:21.880,81.880,46,00:00:01.840,1.840
21,2048,00:01:21.880,81.880,2067,00:01:22.680,82.680,20,00:00:00.800,0.800
22,2068,00:01:22.680,82.680,2242,00:01:29.680,89.680,175,00:00:07.000,7.000
23,2243,00:01:29.680,89.680,3119,00:02:04.760,124.760,877,00:00:35.080,35.080
24,3120,00:02:04.760,124.760,3298,00:02:11.920,131.920,179,00:00:07.160,7.160
25,3299,00:02:11.920,131.920,4177,00:02:47.080,167.080,879,00:00:35.160,35.160
26,4178,00:02:47.080,167.080,4340,00:02:53.600,173.600,163,00:00:06.520,6.520
27,4341,00:02:53.600,173.600,4553,00:03:02.120,182.120,213,00:00:08.520,8.520
28,4554,00:03:02.120,182.120,4704,00:03:08.160,188.160,151,00:00:06.040,6.040
29,4705,00:03:08.160,188.160,4728,00:03:09.120,189.120,24,00:00:00.960,0.960
30,4729,00:03:09.120,189.120,4830,00:03:13.200,193.200,102,00:00:04.080,4.080
31,4831,00:03:13.200,193.200,4850,00:03:14.000,194.000,20,00:00:00.800,0.800
32,4851,00:03:14.000,194.000,4896,00:03:15.840,195.840,46,00:00:01.840,1.840
33,4897,00:03:15.840,195.840,4940,00:03:17.600,197.600,44,00:00:01.760,1.760
34,4941,00:03:17.600,197.600,5021,00:03:20.840,200.840,81,00:00:03.240,3.240
35,5022,00:03:20.840,200.840,5054,00:03:22.160,202.160,33,00:00:01.320,1.320
36,5055,00:03:22.160,202.160,5099,00:03:23.960,203.960,45,00:00:01.800,1.800
37,5100,00:03:23.960,203.960,5205,00:03:28.200,208.200,106,00:00:04.240,4.240
38,5206,00:03:28.200,208.200,5255,00:03:30.200,210.200,50,00:00:02.000,2.000
39,5256,00:03:30.200,210.200,5284,00:03:31.360,211.360,29,00:00:01.160,1.160
40,5285,00:03:31.360,211.360,5614,00:03:44.560,224.560,330,00:00:13.200,13.200
41,5615,00:03:44.560,224.560,5638,00:03:45.520,225.520,24,00:00:00.960,0.960
42,5639,00:03:45.520,225.520,5786,00:03:51.440,231.440,148,00:00:05.920,5.920
43,5787,00:03:51.440,231.440,5882,00:03:55.280,235.280,96,00:00:03.840,3.840
44,5883,00:03:55.280,235.280,6340,00:04:13.600,253.600,458,00:00:18.320,18.320
45,6341,00:04:13.600,253.600,6356,00:04:14.240,254.240,16,00:00:00.640,0.640
46,6357,00:04:14.240,254.240,6402,00:04:16.080,256.080,46,00:00:01.840,1.840
47,6403,00:04:16.080,256.080,6428,00:04:17.120,257.120,26,00:00:01.040,1.040
48,6429,00:04:17.120,257.120,6472,00:04:18.880,258.880,44,00:00:01.760,1.760
49,6473,00:04:18.880,258.880,6523,00:04:20.920,260.920,51,00:00:02.040,2.040
50,6524,00:04:20.920,260.920,6571,00:04:22.840,262.840,48,00:00:01.920,1.920
51,6572,00:04:22.840,262.840,6609,00:04:24.360,264.360,38,00:00:01.520,1.520
52,6610,00:04:24.360,264.360,6646,00:04:25.840,265.840,37,00:00:01.480,1.480
53,6647,00:04:25.840,265.840,6685,00:04:27.400,267.400,39,00:00:01.560,1.560
54,6686,00:04:27.400,267.400,7120,00:04:44.800,284.800,435,00:00:17.400,17.400
55,7121,00:04:44.800,284.800,7177,00:04:47.080,287.080,57,00:00:02.280,2.280
56,7178,00:04:47.080,287.080,7256,00:04:50.240,290.240,79,00:00:03.160,3.160
57,7257,00:04:50.240,290.240,7390,00:04:55.600,295.600,134,00:00:05.360,5.360
58,7391,00:04:55.600,295.600,7710,00:05:08.400,308.400,320,00:00:12.800,12.800
59,7711,00:05:08.400,308.400,7746,00:05:09.840,309.840,36,00:00:01.440,1.440
60,7747,00:05:09.840,309.840,7805,00:05:12.200,312.200,59,00:00:02.360,2.360
61,7806,00:05:12.200,312.200,8078,00:05:23.120,323.120,273,00:00:10.920,10.920
62,8079,00:05:23.120,323.120,8136,00:05:25.440,325.440,58,00:00:02.320,2.320
63,8137,00:05:25.440,325.440,8227,00:05:29.080,329.080,91,00:00:03.640,3.640
64,8228,00:05:29.080,329.080,8245,00:05:29.800,329.800,18,00:00:00.720,0.720
65,8246,00:05:29.800,329.800,8284,00:05:31.360,331.360,39,00:00:01.560,1.560
66,8285,00:05:31.360,331.360,8336,00:05:33.440,333.440,52,00:00:02.080,2.080
67,8337,00:05:33.440,333.440,8431,00:05:37.240,337.240,95,00:00:03.800,3.800
68,8432,00:05:37.240,337.240,8526,00:05:41.040,341.040,95,00:00:03.800,3.800
